x,y
0.03688148510327484,-0.015344158251788538
0.06896681570223434,-0.16046844764460522
0.09315981056150269,0.0568986946273555
-0.08671412793135633,-0.07172083041215745
0.10498567233902752,-0.056215954426425366
0.03620164799991295,-0.07603984819636436
0.030129216258897636,0.05200431220943649
-0.02212672525156617,-0.008045513987766808
0.10619949015300456,0.05887580240804956
0.1405732888590029,-0.006263017273046388
0.11512086161299118,-0.1302540998459001
0.1210808823234097,-0.14315284205752407
0.020044722581940816,0.06680270606257664
0.010348792606482795,0.07356174971226406
-0.2636101314221151,0.11656772862143477
0.9749438055020085,0.20640175726834475
0.01775186699947702,0.07354430275953784
0.745824203155595,0.19319050877224747
